Exp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
1,2023,'860729000',122,  ,KG,0,100,1710,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860729000',129,  ,KG,0,7,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860729000',140,  ,KG,0,18,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,636,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860729000',205,  ,KG,0,3580,21379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3580,21379,0,0,0
1,2023,'860729000',225,  ,KG,0,41377,146769,0,2319,10006,0,3322,9942,0,3242,12892,0,7902,27771,0,1556,5399,0,466,829,0,18670,64130,0,0,0,0,3900,15800,0,0,0,0,0,0,0,0,0
1,2023,'860729000',304,  ,KG,0,589,12241,0,0,0,0,76,1054,0,173,3935,0,55,1719,0,19,714,0,46,332,0,0,0,0,0,0,0,110,658,0,0,0,0,99,3442,0,11,387
1,2023,'860729000',601,  ,KG,0,6462,48554,0,0,0,0,6462,48554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860730000',103,  ,KG,0,3321,16355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,416,0,8,1081,0,0,0,0,0,0,0,0,0,0,3289,14858,0,0,0
1,2023,'860730000',105,  ,KG,0,293361,1207071,0,31368,174372,0,24140,87549,0,19059,59168,0,20972,77502,0,20841,81141,0,36809,139525,0,45518,177951,0,44079,192011,0,12241,43751,0,26428,124858,0,3953,13814,0,7953,35429
1,2023,'860730000',106,  ,KG,0,1401,17498,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2304,0,1320,14546,0,0,0,0,59,648,0,0,0,0,0,0,0,0,0,0,0,0
